MONTH,WEEKOFMONTH,DAYOFWEEK,MAKE,ACCIDENTAREA,DAYOFWEEKCLAIMED,MONTHCLAIMED,WEEKOFMONTHCLAIMED,SEX,MARITALSTATUS,AGE,FAULT,POLICYTYPE,VEHICLECATEGORY,VEHICLEPRICE,REPNUMBER,DEDUCTIBLE,DRIVERRATING,DAYS_POLICY_ACCIDENT,DAYS_POLICY_CLAIM,PASTNUMBEROFCLAIMS,AGEOFVEHICLE,AGEOFPOLICYHOLDER,POLICEREPORTFILED,WITNESSPRESENT,AGENTTYPE,NUMBEROFSUPPLIMENTS,ADDRESSCHANGE_CLAIM,NUMBEROFCARS,YEAR,BASEPOLICY,FRAUDFOUND
Jun,1,Monday,Honda,Urban,Wednesday,Dec,3,Male,Single,0,Policy_Holder,Sedan-Collision,Sedan,more_than_69000,8,400,2,more_than_30,more_than_30,2_to_4,new,16_to_17,No,No,External,none,no_change,1-vehicle,1995,Collision,No
Aug,5,Tuesday,Pontiac,Urban,Wednesday,Sep,4,Male,Single,56,Third_Party,Sedan-All_Perils,Sedan,less_than_20000,10,400,4,more_than_30,more_than_30,2_to_4,7_years,51_to_65,No,No,External,1_to_2,no_change,3_to_4,1995,All_Perils,No
Jun,3,Thursday,Mazda,Rural,Tuesday,Jun,4,Male,Single,35,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,14,400,2,more_than_30,more_than_30,1,5_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1995,Collision,No
Jul,3,Wednesday,Toyota,Urban,Monday,Jul,4,Male,Single,24,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,1,400,1,more_than_30,more_than_30,2_to_4,5_years,26_to_30,No,No,External,1_to_2,no_change,1-vehicle,1994,Collision,No
Aug,1,Monday,Mazda,Urban,Wednesday,Aug,1,Male,Married,31,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,1,400,3,more_than_30,more_than_30,1,7_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1994,Liability,No
Sep,2,Saturday,Pontiac,Urban,Thursday,Sep,3,Female,Married,42,Third_Party,Sedan-Collision,Sedan,20000_to_29000,4,400,1,more_than_30,more_than_30,none,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,Collision,No
Oct,2,Tuesday,Toyota,Urban,Friday,Oct,2,Male,Married,34,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,13,400,3,more_than_30,more_than_30,none,7_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,All_Perils,No
Nov,4,Saturday,VW,Urban,Wednesday,Nov,5,Male,Married,80,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,3,400,2,more_than_30,more_than_30,2_to_4,more_than_7,over_65,No,No,External,none,no_change,1-vehicle,1994,Liability,No
Nov,5,Thursday,Honda,Urban,Thursday,Dec,2,Male,Married,40,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,7,400,2,more_than_30,more_than_30,2_to_4,more_than_7,36_to_40,No,No,External,none,no_change,1-vehicle,1994,Liability,No
Nov,5,Wednesday,Dodge,Urban,Thursday,Nov,5,Male,Divorced,52,Policy_Holder,Sedan-Liability,Sport,60000_to_69000,14,400,2,more_than_30,more_than_30,2_to_4,7_years,41_to_50,No,No,External,none,no_change,1-vehicle,1994,Liability,No
Dec,2,Thursday,Pontiac,Urban,Monday,Dec,2,Male,Single,48,Policy_Holder,Sedan-Collision,Sedan,less_than_20000,16,400,4,more_than_30,more_than_30,none,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1994,Collision,No
Oct,1,Wednesday,Toyota,Urban,Wednesday,Oct,1,Male,Married,65,Policy_Holder,Sedan-Liability,Sport,more_than_69000,1,400,1,more_than_30,more_than_30,2_to_4,7_years,51_to_65,No,No,External,none,no_change,1-vehicle,1994,Liability,No
Aug,3,Thursday,Honda,Urban,Monday,Aug,4,Male,Married,60,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,6,400,3,more_than_30,more_than_30,1,7_years,51_to_65,No,No,External,1_to_2,no_change,1-vehicle,1994,Collision,No
Sep,4,Tuesday,Pontiac,Rural,Tuesday,Sep,4,Male,Single,30,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,3,400,2,more_than_30,more_than_30,2_to_4,7_years,31_to_35,No,No,External,more_than_5,4_to_8_years,2-vehicles,1995,Liability,No
Dec,3,Sunday,Mazda,Urban,Tuesday,Dec,3,Male,Married,44,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,10,400,2,more_than_30,more_than_30,1,6_years,36_to_40,No,No,External,more_than_5,no_change,1-vehicle,1995,All_Perils,No
Dec,1,Tuesday,Chevrolet,Urban,Tuesday,Dec,1,Male,Single,49,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,16,400,4,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,3_to_5,no_change,1-vehicle,1995,All_Perils,No
Oct,2,Tuesday,Pontiac,Urban,Monday,Oct,3,Male,Married,61,Third_Party,Sedan-Collision,Sedan,20000_to_29000,4,400,4,more_than_30,more_than_30,more_than_4,more_than_7,51_to_65,No,No,External,more_than_5,no_change,1-vehicle,1995,Collision,No
Oct,2,Wednesday,Pontiac,Urban,Thursday,Oct,3,Female,Married,34,Policy_Holder,Sedan-Collision,Sedan,less_than_20000,11,400,2,more_than_30,more_than_30,none,6_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1995,Collision,No
May,4,Monday,Pontiac,Urban,Monday,May,5,Male,Married,46,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,9,400,1,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Nov,2,Saturday,Pontiac,Urban,Tuesday,Nov,3,Male,Single,21,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,6,400,2,more_than_30,more_than_30,2_to_4,4_years,26_to_30,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Sep,1,Monday,Pontiac,Rural,Wednesday,Sep,2,Male,Single,27,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,4,400,3,more_than_30,more_than_30,1,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1995,Collision,No
Aug,1,Saturday,Chevrolet,Urban,Monday,Aug,2,Male,Married,36,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,4,400,4,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Jul,2,Wednesday,Chevrolet,Urban,Thursday,Jul,3,Female,Single,27,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,10,400,2,more_than_30,more_than_30,more_than_4,5_years,31_to_35,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Mar,5,Friday,Toyota,Urban,Monday,Apr,4,Male,Married,30,Third_Party,Sedan-All_Perils,Sedan,less_than_20000,14,400,2,none,more_than_30,1,6_years,31_to_35,Yes,No,External,none,no_change,1-vehicle,1995,All_Perils,No
Feb,3,Monday,Honda,Urban,Wednesday,Feb,4,Male,Married,31,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,12,400,3,more_than_30,more_than_30,more_than_4,7_years,31_to_35,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Dec,5,Wednesday,Honda,Urban,Wednesday,Mar,5,Male,Married,45,Third_Party,Sedan-Collision,Sedan,more_than_69000,15,400,4,more_than_30,more_than_30,none,new,36_to_40,No,No,External,none,no_change,1-vehicle,1995,Collision,No
Jun,4,Friday,Chevrolet,Rural,Friday,Jul,2,Male,Married,31,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,8,400,2,more_than_30,more_than_30,1,7_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1995,Collision,No
Jan,4,Tuesday,Toyota,Urban,Wednesday,Jan,4,Female,Married,53,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,15,400,3,more_than_30,more_than_30,none,7_years,41_to_50,No,No,External,none,no_change,1-vehicle,1995,Collision,No
Feb,3,Thursday,Pontiac,Urban,Friday,Feb,3,Male,Married,35,Policy_Holder,Sedan-Liability,Sport,more_than_69000,5,400,2,more_than_30,more_than_30,1,7_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1995,Liability,No
Oct,1,Sunday,Pontiac,Urban,Monday,Oct,1,Female,Single,39,Policy_Holder,Sedan-Liability,Sport,less_than_20000,13,400,1,more_than_30,more_than_30,2_to_4,6_years,36_to_40,No,No,External,more_than_5,no_change,1-vehicle,1995,Liability,No
Apr,1,Sunday,Mazda,Urban,Tuesday,Apr,1,Male,Married,40,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,2,400,4,more_than_30,more_than_30,more_than_4,7_years,36_to_40,No,No,External,1_to_2,no_change,1-vehicle,1995,Liability,No
Jan,4,Tuesday,Toyota,Urban,Thursday,Jan,4,Male,Single,37,Third_Party,Sedan-All_Perils,Sedan,20000_to_29000,4,400,3,more_than_30,more_than_30,1,7_years,36_to_40,No,No,External,3_to_5,no_change,1-vehicle,1995,All_Perils,No
Oct,4,Saturday,Chevrolet,Urban,Monday,Oct,4,Male,Single,60,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,13,400,4,more_than_30,more_than_30,more_than_4,more_than_7,51_to_65,No,No,External,3_to_5,no_change,1-vehicle,1995,Liability,No
Oct,4,Monday,Toyota,Urban,Wednesday,Oct,4,Male,Married,63,Third_Party,Sedan-All_Perils,Sedan,more_than_69000,7,400,2,more_than_30,more_than_30,1,more_than_7,51_to_65,No,No,External,none,no_change,1-vehicle,1995,All_Perils,No
Dec,4,Saturday,Dodge,Urban,Tuesday,Dec,4,Female,Single,32,Third_Party,Sedan-Collision,Sedan,20000_to_29000,11,400,2,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1995,Collision,No
Dec,4,Saturday,Pontiac,Urban,Wednesday,Dec,4,Male,Married,52,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,10,400,3,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,none,4_to_8_years,2-vehicles,1995,All_Perils,No
Jul,3,Thursday,Pontiac,Urban,Wednesday,Sep,2,Female,Single,38,Third_Party,Sedan-Liability,Sport,30000_to_39000,8,400,3,more_than_30,more_than_30,1,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Apr,1,Saturday,Toyota,Urban,Wednesday,Apr,1,Male,Married,34,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,8,400,3,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Liability,No
Apr,4,Saturday,Mazda,Urban,Monday,Apr,4,Male,Married,32,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,11,400,2,more_than_30,more_than_30,2_to_4,5_years,31_to_35,No,No,Internal,more_than_5,no_change,1-vehicle,1994,Liability,No
May,1,Monday,Toyota,Urban,Wednesday,May,3,Male,Married,46,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,7,400,1,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,more_than_5,no_change,1-vehicle,1994,Liability,No
Sep,4,Thursday,Honda,Urban,Friday,Sep,4,Male,Married,50,Third_Party,Sedan-All_Perils,Sedan,20000_to_29000,16,400,4,more_than_30,more_than_30,more_than_4,6_years,41_to_50,No,No,External,none,no_change,1-vehicle,1994,All_Perils,No
Sep,4,Friday,Saab,Urban,Friday,Sep,5,Male,Single,24,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,14,400,4,more_than_30,more_than_30,none,5_years,26_to_30,No,No,External,more_than_5,no_change,1-vehicle,1994,All_Perils,No
Jul,3,Wednesday,Toyota,Urban,Thursday,Jul,3,Male,Married,37,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,3,400,3,more_than_30,more_than_30,none,7_years,36_to_40,No,No,External,1_to_2,no_change,1-vehicle,1994,Collision,No
Oct,3,Friday,Accura,Urban,Wednesday,Oct,3,Male,Married,48,Policy_Holder,Utility-All_Perils,Utility,more_than_69000,3,400,2,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1994,All_Perils,No
Mar,2,Saturday,Honda,Urban,Monday,Mar,2,Male,Single,29,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,5,400,3,more_than_30,more_than_30,2_to_4,7_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1994,Liability,No
Mar,3,Monday,Toyota,Urban,Monday,Mar,3,Male,Single,29,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,1,400,2,more_than_30,more_than_30,2_to_4,5_years,31_to_35,No,No,External,3_to_5,no_change,1-vehicle,1994,Liability,No
May,5,Tuesday,Mazda,Urban,Tuesday,Jun,2,Male,Single,30,Third_Party,Sport-Collision,Sport,more_than_69000,3,400,1,more_than_30,more_than_30,1,5_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,No
Jun,5,Friday,Pontiac,Urban,Tuesday,Jul,4,Male,Married,56,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,11,400,1,more_than_30,more_than_30,2_to_4,more_than_7,51_to_65,No,No,External,none,no_change,1-vehicle,1994,Liability,No
Jul,2,Tuesday,Honda,Rural,Wednesday,Jul,2,Male,Married,33,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,16,500,3,more_than_30,more_than_30,none,7_years,31_to_35,No,No,External,3_to_5,2_to_3_years,1-vehicle,1994,Collision,No
Nov,2,Friday,Pontiac,Urban,Thursday,Nov,3,Male,Married,31,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,16,400,4,more_than_30,more_than_30,none,6_years,31_to_35,No,No,External,3_to_5,no_change,1-vehicle,1994,Collision,No
Nov,3,Wednesday,Chevrolet,Urban,Thursday,Nov,4,Male,Married,47,Policy_Holder,Sedan-Liability,Sport,40000_to_59000,12,400,4,more_than_30,more_than_30,2_to_4,7_years,41_to_50,No,No,External,none,4_to_8_years,2-vehicles,1994,Liability,No
Oct,5,Saturday,Toyota,Urban,Friday,Nov,3,Male,Married,45,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,8,400,4,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,3_to_5,no_change,1-vehicle,1994,Collision,No
Oct,2,Sunday,Ford,Urban,Tuesday,Oct,2,Male,Married,49,Third_Party,Sedan-Liability,Sport,30000_to_39000,3,400,2,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1994,Liability,No
Jul,1,Sunday,VW,Urban,Wednesday,Jul,2,Male,Married,35,Third_Party,Sedan-Liability,Sport,more_than_69000,1,400,3,more_than_30,more_than_30,more_than_4,7_years,31_to_35,No,No,External,none,no_change,1-vehicle,1995,Liability,No
May,3,Wednesday,Toyota,Urban,Wednesday,May,3,Male,Married,29,Policy_Holder,Sedan-Liability,Sport,40000_to_59000,12,400,1,more_than_30,more_than_30,2_to_4,7_years,31_to_35,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Jan,1,Wednesday,Toyota,Urban,Thursday,Jan,1,Male,Married,32,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,15,400,4,more_than_30,more_than_30,none,6_years,31_to_35,No,No,External,3_to_5,no_change,1-vehicle,1995,All_Perils,No
Nov,1,Sunday,Toyota,Urban,Monday,Nov,1,Female,Married,21,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,3,400,3,more_than_30,more_than_30,none,5_years,26_to_30,No,No,External,3_to_5,no_change,1-vehicle,1995,Liability,No
Jul,3,Wednesday,Mazda,Urban,Wednesday,Aug,1,Male,Married,37,Third_Party,Sport-Collision,Sport,more_than_69000,9,400,2,more_than_30,more_than_30,none,more_than_7,36_to_40,No,No,External,none,4_to_8_years,2-vehicles,1995,Collision,No
Feb,1,Saturday,Toyota,Rural,Monday,Feb,1,Male,Married,31,Third_Party,Sedan-Liability,Sport,20000_to_29000,1,400,1,more_than_30,more_than_30,2_to_4,5_years,31_to_35,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Oct,2,Saturday,Chevrolet,Urban,Tuesday,Feb,3,Male,Married,44,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,10,400,3,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Oct,1,Sunday,Ford,Urban,Thursday,Oct,3,Male,Married,44,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,3,400,1,more_than_30,more_than_30,1,7_years,36_to_40,No,No,External,1_to_2,no_change,1-vehicle,1995,Liability,No
Jan,4,Thursday,Accura,Urban,Thursday,Feb,3,Male,Married,36,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,1,400,1,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,more_than_5,no_change,1-vehicle,1995,All_Perils,No
Jan,3,Friday,Chevrolet,Urban,Friday,Jan,3,Male,Married,52,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,9,700,1,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Dec,4,Monday,Pontiac,Urban,Wednesday,Dec,5,Male,Single,29,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,8,400,2,more_than_30,more_than_30,none,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1995,Collision,No
Dec,1,Monday,Pontiac,Urban,Wednesday,Dec,4,Male,Married,31,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,5,400,2,more_than_30,more_than_30,1,7_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1995,Collision,No
May,5,Monday,Mazda,Urban,Tuesday,May,5,Male,Married,61,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,3,400,2,more_than_30,more_than_30,2_to_4,more_than_7,51_to_65,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Mar,2,Friday,Chevrolet,Urban,Monday,Mar,3,Female,Married,55,Third_Party,Sedan-All_Perils,Sedan,more_than_69000,4,400,3,more_than_30,more_than_30,more_than_4,more_than_7,41_to_50,No,No,External,more_than_5,no_change,1-vehicle,1995,All_Perils,No
Dec,4,Friday,Pontiac,Urban,Monday,Dec,4,Male,Married,29,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,8,400,2,more_than_30,more_than_30,1,6_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1995,Collision,No
Oct,2,Thursday,Honda,Urban,Friday,Oct,3,Male,Single,35,Policy_Holder,Sedan-Liability,Sport,more_than_69000,6,400,3,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,3_to_5,no_change,1-vehicle,1995,Liability,No
Jan,3,Sunday,Honda,Urban,Monday,Jan,3,Male,Single,31,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,1,400,1,more_than_30,more_than_30,none,5_years,31_to_35,No,No,External,none,4_to_8_years,2-vehicles,1995,All_Perils,No
Aug,4,Tuesday,Honda,Urban,Thursday,Sep,1,Male,Married,42,Policy_Holder,Sedan-Liability,Sport,more_than_69000,10,400,3,more_than_30,more_than_30,more_than_4,7_years,36_to_40,No,No,External,more_than_5,no_change,1-vehicle,1995,Liability,No
Dec,3,Friday,Pontiac,Urban,Friday,Dec,3,Male,Married,47,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,9,400,2,more_than_30,more_than_30,none,7_years,41_to_50,No,No,External,more_than_5,no_change,1-vehicle,1995,Collision,No
Mar,4,Sunday,Mazda,Urban,Tuesday,Mar,5,Male,Married,45,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,4,700,4,more_than_30,more_than_30,none,more_than_7,36_to_40,No,No,External,3_to_5,no_change,1-vehicle,1994,Collision,No
Mar,4,Thursday,Toyota,Urban,Thursday,Mar,4,Female,Married,31,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,14,400,2,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Liability,No
Nov,4,Sunday,Toyota,Urban,Wednesday,Nov,5,Male,Married,31,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,14,400,3,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,3_to_5,no_change,1-vehicle,1995,Liability,No
Apr,3,Saturday,Honda,Urban,Tuesday,May,1,Female,Single,38,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,11,400,3,more_than_30,more_than_30,1,7_years,36_to_40,No,No,External,more_than_5,no_change,1-vehicle,1995,All_Perils,No
Mar,5,Wednesday,Pontiac,Urban,Wednesday,Apr,1,Male,Married,79,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,10,400,3,more_than_30,more_than_30,1,6_years,over_65,No,No,External,3_to_5,4_to_8_years,2-vehicles,1995,All_Perils,No
Apr,4,Wednesday,Chevrolet,Urban,Wednesday,May,3,Male,Married,59,Third_Party,Sedan-All_Perils,Sedan,60000_to_69000,2,400,1,more_than_30,more_than_30,none,more_than_7,51_to_65,No,No,External,more_than_5,no_change,1-vehicle,1995,All_Perils,No
Sep,2,Friday,Mazda,Urban,Monday,Sep,4,Male,Married,31,Third_Party,Sedan-Collision,Sedan,30000_to_39000,14,400,1,more_than_30,more_than_30,none,6_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1995,Collision,No
Sep,3,Monday,Toyota,Urban,Monday,Sep,3,Male,Married,30,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,10,400,1,more_than_30,more_than_30,2_to_4,7_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1995,Liability,No
Oct,4,Friday,Chevrolet,Urban,Tuesday,Oct,4,Male,Married,37,Policy_Holder,Utility-All_Perils,Utility,more_than_69000,15,400,3,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,more_than_5,no_change,1-vehicle,1995,All_Perils,No
Nov,3,Sunday,Pontiac,Rural,Tuesday,Nov,4,Male,Single,26,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,11,400,3,more_than_30,more_than_30,2_to_4,7_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1994,Liability,No
Feb,2,Friday,Mazda,Urban,Monday,Feb,3,Male,Married,58,Third_Party,Sedan-All_Perils,Sedan,20000_to_29000,2,400,2,more_than_30,more_than_30,none,more_than_7,51_to_65,No,No,External,1_to_2,no_change,1-vehicle,1994,All_Perils,No
Jan,4,Saturday,Ford,Rural,Tuesday,Jan,5,Male,Married,45,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,14,400,2,more_than_30,more_than_30,none,more_than_7,36_to_40,No,No,External,more_than_5,no_change,1-vehicle,1994,Liability,No
Feb,4,Friday,Toyota,Urban,Tuesday,Mar,2,Female,Married,20,Policy_Holder,Sedan-Liability,Sport,30000_to_39000,11,400,3,more_than_30,more_than_30,1,3_years,21_to_25,No,No,External,1_to_2,no_change,1-vehicle,1994,Liability,No
Oct,3,Friday,Toyota,Urban,Monday,Oct,4,Male,Single,22,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,14,400,1,more_than_30,more_than_30,none,5_years,26_to_30,No,No,External,3_to_5,no_change,1-vehicle,1994,Liability,No
Mar,3,Saturday,Chevrolet,Urban,Friday,May,4,Male,Single,29,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,8,400,3,more_than_30,more_than_30,more_than_4,7_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1994,Liability,No
Apr,3,Sunday,Mazda,Urban,Monday,Apr,3,Male,Single,32,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,10,400,3,more_than_30,more_than_30,1,7_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,No
Mar,3,Wednesday,Toyota,Urban,Thursday,Mar,3,Male,Married,57,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,5,400,1,more_than_30,more_than_30,1,more_than_7,51_to_65,No,No,External,none,no_change,1-vehicle,1994,All_Perils,No
Feb,4,Thursday,Mazda,Urban,Monday,Feb,5,Male,Married,28,Policy_Holder,Sedan-Collision,Sedan,more_than_69000,8,400,3,more_than_30,more_than_30,2_to_4,7_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1994,Collision,No
Feb,4,Tuesday,Pontiac,Urban,Tuesday,Mar,1,Male,Married,46,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,16,400,2,more_than_30,more_than_30,2_to_4,5_years,41_to_50,No,No,External,none,no_change,1-vehicle,1994,Collision,No
Jan,4,Saturday,Toyota,Urban,Monday,Jan,4,Male,Married,50,Policy_Holder,Sedan-Collision,Sedan,less_than_20000,8,400,2,more_than_30,more_than_30,none,more_than_7,41_to_50,No,No,External,1_to_2,no_change,1-vehicle,1995,Collision,No
Dec,5,Friday,Toyota,Urban,Monday,Jan,2,Male,Married,42,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,10,400,2,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Dec,5,Friday,Pontiac,Urban,Tuesday,Jan,1,Male,Married,33,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,4,400,2,more_than_30,more_than_30,none,7_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1995,All_Perils,No
Dec,3,Sunday,Pontiac,Urban,Monday,Dec,3,Female,Single,34,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,2,400,2,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1995,Liability,No
Mar,2,Friday,Pontiac,Urban,Monday,Mar,3,Male,Married,50,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,15,400,3,more_than_30,more_than_30,none,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1995,All_Perils,No
Mar,2,Wednesday,Honda,Urban,Friday,Mar,2,Female,Married,26,Third_Party,Sedan-Liability,Sport,20000_to_29000,6,400,4,more_than_30,more_than_30,none,6_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1995,Liability,No
Mar,2,Thursday,Pontiac,Urban,Thursday,Mar,2,Male,Married,27,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,15,400,4,more_than_30,more_than_30,more_than_4,6_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1995,All_Perils,No
Jul,4,Thursday,Honda,Urban,Wednesday,Nov,2,Male,Married,56,Policy_Holder,Sport-Collision,Sport,more_than_69000,3,400,2,more_than_30,more_than_30,none,7_years,51_to_65,No,No,External,none,no_change,1-vehicle,1994,Collision,No
Jul,4,Thursday,Honda,Urban,Friday,Jul,4,Female,Single,34,Policy_Holder,Sedan-Liability,Sport,more_than_69000,10,400,2,more_than_30,more_than_30,more_than_4,new,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Liability,No
Jun,4,Monday,Nisson,Urban,Tuesday,Jun,5,Male,Married,47,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,16,400,3,more_than_30,more_than_30,more_than_4,more_than_7,41_to_50,No,No,External,1_to_2,no_change,1-vehicle,1994,All_Perils,No
Apr,2,Sunday,Honda,Urban,Wednesday,Apr,2,Male,Single,44,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,11,400,3,more_than_30,more_than_30,none,6_years,36_to_40,No,No,External,3_to_5,no_change,1-vehicle,1995,Collision,No
Feb,4,Saturday,Chevrolet,Urban,Tuesday,Jun,2,Male,Married,55,Policy_Holder,Sedan-Liability,Sport,20000_to_29000,12,400,1,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1995,Liability,No
